Model Number,Module ID,Vendor,Date (YY-WW),Chip Density (Gbit),HC_first,TRR Mechanism ID,Aggressor Detection Method,Max Aggressors Tracked,TRR-REF Ratio,TRR-REF Coverage,Per-bank TRR
SP SP008GBSFU240B02 DDR4-2400 CL17 8GB 19050877-12,A0,Samsung - A,19-50,8,16K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A1,Samsung - A,19-36,8,14K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A2,Samsung - A,19-36,8,14.5K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A3,Samsung - A,19-36,8,13K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A4,Samsung - A,19-36,8,14.5K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A5,Samsung - A,19-36,8,15K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A6,Samsung - A,19-45,8,13.5K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
SAMSUNG M471A5244CB0-CTD 4GB 1Rx16 PC4-2666V-SC0-11,A7,Samsung - A,19-45,8,15K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
GOODRAM GR2400S464L17S/8G DDR4 8GB PC4 19200 SODIMM,A8,Samsung - A,20-07,8,14K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
GOODRAM GR2400S464L17S/8G DDR4 8GB PC4 19200 SODIMM,A9,Samsung - A,20-07,8,12K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
PATRIOT PSD48G213381S PS001364 DDR4 8GB 2133MHz CL15 1.2V,A10,Samsung - A,19-51,8,12.5K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
PATRIOT PSD48G213381S PS001364 DDR4 8GB 2133MHz CL15 1.2V,A11,Samsung - A,19-51,8,13K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
PATRIOT PSD48G213381S PS001364 DDR4 8GB 2133MHz CL15 1.2V,A12,Samsung - A,19-51,8,13.5K,A_TRR1,Counter-based,16,1/9,4 neighbors,Yes
A-TECH 4GB DDR4 PC4-19200 SODIMM/2400MHz 1rx16 1.2v 89476 13424,A13,Samsung - A,*Jul 2020 (20-31),8,14.5K,A_TRR2,Counter-based,16,1/9,2 neighbors,Yes
A-TECH 4GB DDR4 PC4-19200 SODIMM/2400MHz 1rx16 1.2v 89476 13424,A14,Samsung - A,*Jul 2020 (20-31),8,11K,A_TRR2,Counter-based,16,1/9,2 neighbors,Yes
TIMETEC PL181128D#NP41 76TT21NUS1R8-4G 4G DDR4 2133 CL15 1.2V 1Rx8,B0,Hynix - B,18-22,4,44.5K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
T-FORCE VULCAN TLRD44G2666HC18F-SBK 4GB DDR4 2666 CL18-18-38 1.2V W/N:26190716046,B1,Hynix - B,*Apr 2020 (20-17),4,192.5K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
T-FORCE VULCAN TLRD44G2666HC18F-SBK 4GB DDR4 2666 CL18-18-38 1.2V W/N:26190716046,B2,Hynix - B,*Apr 2020 (20-17),4,204K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
T-FORCE VULCAN TLRD44G2666HC18F-SBK 4GB DDR4 2666 CL18-18-38 1.2V W/N:26190716046,B3,Hynix - B,*Apr 2020 (20-17),4,159.5K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
T-FORCE VULCAN TLRD44G2666HC18F-SBK 4GB DDR4 2666 CL18-18-38 1.2V W/N:26190716046,B4,Hynix - B,*Apr 2020 (20-17),4,190.5K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
TIMETEC 612.T8539#P41 75TT21NUS1R8-4 4GB DDR4 2133 CL15 1.2V 1RX8,B5,Hynix - B,*16-48,4,44.5K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
TIMETEC 612.T8539#P41 75TT21NUS1R8-4 4GB DDR4 2133 CL15 1.2V 1RX8,B6,Hynix - B,*16-48,4,50K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
TIMETEC PL190625D#NP56 78AP26NUS2R8-16G 16GB DDR4 2666 CL19 1.2V 2Rx8,B7,Hynix - B,19-06,8,20K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
TIMETEC PL18032101#NP41 76TT21NUS1R8-4G 4G DDR4 2133 CL15 1.2V 1Rx8,B8,Hynix - B,18-03,4,43K,B_TRR1,Sampling-based,1,1/4,2 neighbors,No
ADATA AD4S240038G17-B DDR4 2400(17) 8GX8 SO-DIMM 1.2V 20410224,B9,Hynix - B,19-48,8,42.5K,B_TRR2,Sampling-based,1,1/9,2 neighbors,No
ADATA AD4S240038G17-B DDR4 2400(17) 8GX8 SO-DIMM 1.2V 20410224,B10,Hynix - B,19-48,8,65.5K,B_TRR2,Sampling-based,1,1/9,2 neighbors,No
ADATA AD4S240038G17-B DDR4 2400(17) 8GX8 SO-DIMM 1.2V 20410224,B11,Hynix - B,19-48,8,58K,B_TRR2,Sampling-based,1,1/9,2 neighbors,No
